Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1
AUS,1995,,,,,,,,
AUS,1996,,,,,,,,
AUS,1997,0.010000000000000675,,1.464884121305551,110.07802050000919,0.025817683025941562,0.21881298537941674,-0.0726518731785899,0.03383255833333898
AUS,1998,-0.33000000000000007,0.010000000000000675,0.581144234729436,67.76759175000007,0.0022463506263745714,0.07299756946982683,0.07113468411459989,-0.1436266583333392
AUS,1999,-0.39000000000000057,-0.33000000000000007,-1.9847229622741098,150.76634233332152,0.008564565477840347,0.15802495549280127,0.24425617762704,-0.6850579583333305
AUS,2000,-0.2699999999999996,-0.39000000000000057,-0.580158459104446,155.1904803333382,0.01472238590094932,-0.15528161719722067,-0.04262899724195002,-0.80363805
AUS,2001,-1.0300000000000002,-0.2699999999999996,1.426593024713804,229.11789958334157,0.0436094832816325,-0.2357092791528801,0.17685582710894,-0.5882451583333399
AUS,2002,-1.1099999999999999,-1.0300000000000002,1.810652575538536,113.28215908333004,0.043127833504391866,-0.210570337298984,0.20885746829057017,0.4566268333333401
AUS,2003,0.050000000000000266,-1.1099999999999999,-1.5360400230049702,175.25160316666006,0.029379898271838734,0.39067035565859265,-0.09407763513968015,-0.3732617083333407
AUS,2004,-0.050000000000000266,0.050000000000000266,-1.537536628699626,206.2704106666697,0.02695927071704496,-0.2536534184598871,-0.29976190009499004,-0.4404910416666592
AUS,2005,-0.6200000000000001,-0.050000000000000266,-0.9743643829210518,161.82436041666006,0.023162224825398425,0.2430899450914159,-0.18229181825885998,-0.53168674166667
AUS,2006,0.31000000000000005,-0.6200000000000001,0.3377421686248665,322.27252275000865,0.026562392078989916,-0.2692532472088516,-0.046454115534219964,-0.3628528083333302
AUS,2007,0.07000000000000028,0.31000000000000005,0.08463813577107793,243.5943305833316,0.03493546512985812,-0.12025082776617513,0.01511952694648011,-0.24864101666666993
AUS,2008,-0.30000000000000027,0.07000000000000028,-0.8654089051763814,310.0410626666999,0.023009355624148853,0.48305018494153074,-0.13272565484033017,-0.40608821666666994
AUS,2009,0.52,-0.30000000000000027,1.849743765544929,296.9011924999995,0.042583308574632994,-0.5693006548974909,0.00231778436262009,-0.14482180000000078
AUS,2010,-0.8700000000000001,0.52,0.3769462467943665,74.40613250000024,0.017556156518303112,-0.2211895017199056,0.08465827514551005,1.3260557250000007
AUS,2011,-1.0299999999999998,-0.8700000000000001,0.7998226094651186,216.66714499999944,0.02876567252326545,0.2362159315343243,-0.19198321805007001,-0.34704499166666025
AUS,2012,0.040000000000000036,-1.0299999999999998,0.7289321375627873,191.57278899159974,0.032504461041067856,0.06551686367663079,-0.12098739569609207,-0.13214525833334
AUS,2013,0.030000000000000027,0.040000000000000036,-1.374760837113183,136.98621716670095,0.017474233947222473,0.38357613652548295,-0.0032231938954769834,0.14218067499999965
AUS,2014,0.06999999999999984,0.030000000000000027,0.9665718109354131,105.90679628329963,0.02420360174088554,-0.5853927889782289,0.07044034352295903,0.43856394166667023
AUS,2015,-0.010000000000000009,0.06999999999999984,0.3051982920085665,83.45249048339974,0.024574778382965512,0.15076821626472459,0.07303869117573991,0.41530451666667023
